Acronym,Level of User,Measure of:,Name,Item,Item Name,Edition Number,Ages,Number of Items,Location,Ordering Company,IsArchived
WISC-V,C,Intellectual Functioning,Wechsler Intelligence Scale for Children,Form,"Response Booklet 1
Coding
Symbol Search",5,,Over 100,Second Floor,Pearson,0
WISC-V,C,Intellectual Functioning,Wechsler Intelligence Scale for Children,Form,"Response Booklet 2
Cancellation",5,,Over 50,Second Floor,Pearson,0
WJ IV,,,Woodcock-Johnson,CD,Technical Manual,4,,1,Second Floor,Nelson,0
WJ IV,A,,Woodcock-Johnson,Book,"Test Book
Tests of Oral Language
Tests 1-12",4,,1,Second Floor,Nelson,0
WJ IV,A,,Woodcock-Johnson,CD,"Tests of Oral Language
Audio Recording",4,,1,Second Floor,Nelson,0
WJ IV,C,,Woodcock-Johnson,CD,"Tests of Cognitive Abilities
Audio Recording",4,,1,Second Floor,Nelson,0
WJ IV,A,,Woodcock-Johnson,Form,"Test Record
Tests of Oral Language",4,,Around 25,Second Floor,Nelson,0
WJ IV,A,,Woodcock-Johnson,Book,"Examiner Training Workbook
Tests of Achievement",4,,1,Second Floor,Nelson,0
WJ IV,C,,Woodcock-Johnson,Book,"Examiner Training Workbook
Tests of Cognitive Abilities",4,,1,Second Floor,Nelson,0
WJ IV,A,,Woodcock-Johnson,Book,"Examiner Training Workbook
Tests of Oral Language",4,,1,Second Floor,Nelson,0
WJ IV,A,,Woodcock-Johnson,Manual,Tests of Achievement,4,,1,Second Floor,Nelson,0
WJ IV,C,,Woodcock-Johnson,Manual,Tests of Cognitive Abilities,4,,1,Second Floor,Nelson,0
WJ IV,A,,Woodcock-Johnson,Manual,Tests of Oral Language,4,,1,Second Floor,Nelson,0
WJ IV,A,,Woodcock-Johnson,CD,"Tests of Achievement
Audio Recording",4,,1,Second Floor,Nelson,0
WJ IV,A,,Woodcock-Johnson,Book,"Standard Test Book
Tests of Achievement
Form A
Tests 1-11",4,,1,Second Floor,Nelson,0
WJ IV,A,,Woodcock-Johnson,Book,"Extended Test Book
Tests of Achievement
Tests 12-20",4,,1,Second Floor,Nelson,0
WJ IV,C,,Woodcock-Johnson,Book,"Standard Test Book
Tests of Cognitive Abilities
Tests 1-10",4,,1,Second Floor,Nelson,0
WJ IV,C,,Woodcock-Johnson,Book,"Extended Test Book
Tests of Cognitive Abilities
Tests 11-18",4,,1,Second Floor,Nelson,0
WJ IV,A,,Woodcock-Johnson,Form,"Response Booklet
Tests of Achievement
Standard and Extended Batteries
Form A",4,,Around 25,Second Floor,Nelson,0
WJ IV,A,,Woodcock-Johnson,Book,"Scoring Guides
Test 9, 10, and 15
Tests of Achievement
Form A",4,,1,Second Floor,Nelson,0
WJ IV,A,,Woodcock-Johnson,Form,"Test Record
Tests of Achievement
Standard and Extended Batteries
Form A",4,,Around 25,Second Floor,Nelson,0
WJ IV,C,,Woodcock-Johnson,Form,"Response Booklet
Tests of Cognitive Abilities
Standard and Extended Batteries",4,,Around 25,Second Floor,Nelson,0
WJ IV,C,,Woodcock-Johnson,Book,"Scoring Guides
Test 4, 11, & 17
Tests of Cognitive Abilities",4,,1,Second Floor,Nelson,0
WJ IV,C,,Woodcock-Johnson,Form,"Test Record
Tests of Cognitive Abilities
Standard and Extended Batteries",4,,Around 25,Second Floor,Nelson,0
WMS-IV ,C,Memory,Wechsler Memory Scale,CD,"Scoring Assistant
Windows Version 1.0",4,,1,Second Floor,Pearson,0
WMS-IV ,C,Memory,Wechsler Memory Scale,CD,Training CD,4,,1,Second Floor,Pearson,0
WMS-IV ,C,Memory,Wechsler Memory Scale,Form,"Response Booklet
for Brief Cognitive Status Exam and Visual Reproduction I and II",4,,Over 50,Second Floor,Pearson,0
WMS-IV ,C,Memory,Wechsler Memory Scale,Form,"Record Form
Adult Battery",4,16 to 69,Less than 50,Second Floor,Pearson,0
WMS-IV ,C,Memory,Wechsler Memory Scale,Form,"Record Form
Older Adult Battery",4,65 to 90,Around 25,Second Floor,Pearson,0
WMS-IV ,C,Memory,Wechsler Memory Scale,Kit,"Kit Contents:
Testing materials
Scoring Template
Stimulus books 1 and 2
2 manuals
2 CDs",4,,1,Second Floor,Pearson,0
WMT,,Memory,Green's Word Memory Test,Manual,For Windows,,,1,Second Floor,Green's Publishing,0
WMT,,Memory,Green's Word Memory Test,CD,,,,1,Second Floor,Green's Publishing,0
WPPSI-IV,C,Intellectual Functioning,Wechsler Preschool and Primary Scale of Intelligence,Kit,,4,,1,Second Floor,Pearson,0
WPPSI-IV,C,Intellectual Functioning,Wechsler Preschool and Primary Scale of Intelligence,Form,Record Form,4,2:6 to 3:11,20,Second Floor,Pearson,0
WPPSI-IV,C,Intellectual Functioning,Wechsler Preschool and Primary Scale of Intelligence,Form,Record Form,4,4:0 to 7:7,17,Second Floor,Pearson,0
WPPSI-IV,C,Intellectual Functioning,Wechsler Preschool and Primary Scale of Intelligence,Form,"Response Booklet 1
Bug Search",4,,20,Second Floor,Pearson,0
WPPSI-IV,C,Intellectual Functioning,Wechsler Preschool and Primary Scale of Intelligence,Form,"Response Booklet 2
Cancellation",4,,21,Second Floor,Pearson,0
WPPSI-IV,C,Intellectual Functioning,Wechsler Preschool and Primary Scale of Intelligence,Form,"Response Booklet 3
Animal Coding",4,,23,Second Floor,Pearson,0
WRAML3,C,,Wide Range Assessment of Memory and Learning,Kit,,3,,1,Second Floor,Pearson,0
WRAML3,C,,Wide Range Assessment of Memory and Learning,Manual,Administration Manual,3,,2,Second Floor,Pearson,0
WRAML3,C,,Wide Range Assessment of Memory and Learning,Form,Brief Record Form,3,,5,Second Floor,Pearson,0
WRAML3,C,,Wide Range Assessment of Memory and Learning,Form,Brief Response Booklet,3,,5,Second Floor,Pearson,0
WRAML3,C,,Wide Range Assessment of Memory and Learning,Form,Record Form,3,,Over 100,Second Floor,Pearson,0
WRAML3,C,,Wide Range Assessment of Memory and Learning,Form,Recall Response Booklet,3,,Over 100,Second Floor,Pearson,0
WRAML3,C,,Wide Range Assessment of Memory and Learning,Form,Recognition Response Booklet,3,,Over 100,Second Floor,Pearson,0
16PF-5,B,Personality,Sixteen Personality Factor Questionnaire,Manual,Administrator's Manual,5,,1,Second Floor,Pearson,0
16PF-5,B,Personality,Sixteen Personality Factor Questionnaire,Book,Questionnaire Booklet,5,,8,Second Floor,Pearson,0
16PF-5,B,Personality,Sixteen Personality Factor Questionnaire,Form,Answer Sheet,5,,Around 20,Second Floor,Pearson,0
16PF-5,B,Personality,Sixteen Personality Factor Questionnaire,Form,"Individual Record Form
Profile Sheet",5,,Around 20,Second Floor,Pearson,0
PD-CD,,Mood/Anxiety,Filed as 'Padesky CDs',CD,Constructing NEW Core Beliefs,,,1,Second Floor,Padesky,0
PD-CD,,Mood/Anxiety,Filed as 'Padesky CDs',CD,Cognitive Therapy for Panic Disorder,,,1,Second Floor,Padesky,0
PD-CD,,Mood/Anxiety,Filed as 'Padesky CDs',CD,CBT for Social Anxiety,,,1,Second Floor,Padesky,0
PD-CD,,Mood/Anxiety,Filed as 'Padesky CDs',CD,Guided Discovery Using Socratic Dialogue,,,1,Second Floor,Padesky,0
PD-CD,,Mood/Anxiety,Filed as 'Padesky CDs',CD,Collaborative Case Conceptualization,,,1,Second Floor,Padesky,0
PD-CD,,Mood/Anxiety,Filed as 'Padesky CDs',CD,Constructing NEW Underlying Assumptions & Behavioral Experiments,,,1,Second Floor,Padesky,0
PD-CD,,Mood/Anxiety,Filed as 'Padesky CDs',CD,Testing Automatic Thoughts with Thought Records,,,1,Second Floor,Padesky,0
NT-CD,,,Filed as 'Neurotrauma CD',CD,"Preventing Neurotrauma
A Casebook of Evidence Based Practices",,,1,Second Floor,,0
ABAS-2,C,Adaptive Functioning,Adaptive Behavior Assessment System,Form,Adult Form,2,16 to 89,2,Inside Cabinet,WPS - 3rd ed available,1
ABAS-2,C,Adaptive Functioning,Adaptive Behavior Assessment System,Form,Parent/Primary Caregiver Form,2,0 to 5,9,Inside Cabinet,WPS - 3rd ed available,1
ABAS-2,C,Adaptive Functioning,Adaptive Behavior Assessment System,Form,Teacher/Daycare Provider Form,2,2 to 5,13,Inside Cabinet,WPS - 3rd ed available,1
ABAS-2,C,Adaptive Functioning,Adaptive Behavior Assessment System,Form,Parent Form,2,5 to 21,1,Inside Cabinet,WPS - 3rd ed available,1
ABAS-2,C,Adaptive Functioning,Adaptive Behavior Assessment System,Form,Teacher Form,2,5 to 21,1,Inside Cabinet,WPS - 3rd ed available,1
ABAS-2,C,Adaptive Functioning,Adaptive Behavior Assessment System,Manual,Manual,2,0 through 89,1,Inside Cabinet,WPS - 3rd ed available,1
ACLC,,Language,Assessment of Children's Language Comprehension,Manual,1973 Revision,,,1,Inside Cabinet,Publisher - Consulting Psychologists Press,1
ACLC,,Language,Assessment of Children's Language Comprehension,Book,1973 Revision,,,1,Inside Cabinet,Publisher - Consulting Psychologists Press,1
ACLC,,Language,Assessment of Children's Language Comprehension,Form,Recording Sheet for 1973 Revision,,,Around 20,Inside Cabinet,Publisher - Consulting Psychologists Press,1
ADI-R,C,Autism,Autism Diagnostic Interview-Revised ,Form,Interview Protocol ,,,1,Inside Cabinet,WPS,1
ADOS,C,Autism,Autism Diagnostic Observation Schedule,Manual,,,,2,Inside Cabinet,WPS - 2nd ed available,1
ADOS,C,Autism,Autism Diagnostic Observation Schedule,Form,"Module 1
Pre-Verbal/Single 
Words",,,3,Inside Cabinet,WPS - 2nd ed available,1
ADOS,C,Autism,Autism Diagnostic Observation Schedule,Form,"Module 2
Phrase Speech",,,10,Inside Cabinet,WPS - 2nd ed available,1
ADOS,C,Autism,Autism Diagnostic Observation Schedule,Form,"Module 4
Fluent Speech
Adolescent/Adult",,,1,Inside Cabinet,WPS - 2nd ed available,1
ADOS,C,Autism,Autism Diagnostic Observation Schedule,CD,"Workshop Video
(DVD 1)",,,1,Inside Cabinet,WPS - 2nd ed available,1
ADOS,C,Autism,Autism Diagnostic Observation Schedule,CD,"Workshop Video
(DVD 2)",,,1,Inside Cabinet,WPS - 2nd ed available,1
ADT,,,Auditory Discrimination Test,Manual,"Manual of Administration, Scoring and Interpretation (Revised 1973)",,,1,Inside Cabinet,WPS,1
ADT,,,Auditory Discrimination Test,Form,Form I A (Revised 1973),,,8,Inside Cabinet,WPS,1
ADT,,,Auditory Discrimination Test,Form,Form II A (Revised 1973),,,13,Inside Cabinet,WPS,1
ADT,,,Auditory Discrimination Test,Form,Form I,,,Around 40,Inside Cabinet,WPS,1
ADT,,,Auditory Discrimination Test,Form,Form II ,,,Over 50,Inside Cabinet,WPS,1
AIA,A,,Ashland Interest Assessment ,Manual,,,15,1,Inside Cabinet,"Publisher - Research Psychologists Press (Canada), Sigma Assessment Systems (US)",1
AIA,A,,Ashland Interest Assessment ,Scoring,Scoring Template Pages 1-4,,15,4,Inside Cabinet,"Publisher - Research Psychologists Press (Canada), Sigma Assessment Systems (US)",1
AIA,A,,Ashland Interest Assessment ,Form,Profile for Hand Scoring,,15,1,Inside Cabinet,"Publisher - Research Psychologists Press (Canada), Sigma Assessment Systems (US)",1
AIA,A,,Ashland Interest Assessment ,Form,Hand Scorable Booklet,,15,1,Inside Cabinet,"Publisher - Research Psychologists Press (Canada), Sigma Assessment Systems (US)",1
AMST,,,Auditory Memory Span Test,Form,Form I,,,2,Inside Cabinet,Publisher - Language Research Assoc. ,1
AMST,,,Auditory Memory Span Test,Form,Form II,,,Over 50,Inside Cabinet,Publisher - Language Research Assoc. ,1
BADS,B,,Behavioral Assessment of Dysexecutive Syndrome,Kit,"Manual; Scoring Sheets; 5 Stimulus Books (Test 1: Rule shift cards x1, Test 6: Modified six elements pictures A & B, Test 6: Modified six elements arithmetic problems A & B); Plastic materials; time, 25 self-rater dex questionnaires;",,16-87,1,Shelf,,1
BA-FRT,,,Bene-Anthony Family Relations Test,Form,Scoring Sheet for Older Children ,,,1,Inside Cabinet,Publisher - NFER,1
BA-FRT,,,Bene-Anthony Family Relations Test,Form,Record Sheet for Older Children ,,,1,Inside Cabinet,Publisher - NFER,1
BA-FRT,,,Bene-Anthony Family Relations Test,Form,Scoring Sheet for Young Children,,,1,Inside Cabinet,Publisher - NFER,1
BAP & BAPSI,,,Behavioral Assessment of Pain ,Book,Questionnaire ,,,1,Inside Cabinet,"Publisher - Pendrake, Inc.",1
BAP & BAPSI,,,Behavioral Assessment of Pain ,Form,"Questionnaire Answer 
Sheet",,,1,Inside Cabinet,"Publisher - Pendrake, Inc.",1
BAP & BAPSI,,,Behavioral Assessment of Pain ,Form ,User's Qualification Form,,,1,Inside Cabinet,"Publisher - Pendrake, Inc.",1
BAP & BAPSI,,,Behavioral Assessment of Pain ,Book,Informational Packet,,,5,Inside Cabinet,"Publisher - Pendrake, Inc.",1
BAP & BAPSI,,,Behavioral Assessment of Pain ,Book,Quick Reference ,,,1,Inside Cabinet,"Publisher - Pendrake, Inc.",1
BAP & BAPSI,,,Behavioral Assessment of Pain Screening Instrument,Manual,,,,1,Inside Cabinet,"Publisher - Pendrake, Inc.",1
BAP & BAPSI,,,Behavioral Assessment of Pain Screening Instrument,Book,,,,4,Inside Cabinet,"Publisher - Pendrake, Inc.",1
BAP & BAPSI,,,Behavioral Assessment of Pain Screening Instrument,Book,Test Data & Printing Reports,,,1,Inside Cabinet,"Publisher - Pendrake, Inc.",1
BBRS,,,Burk's Behavior Rating Scales,Manual,,,,1,Inside Cabinet,WPS,1
BBRS,,,Burk's Behavior Rating Scales,Form,Preschool and Kindergarten Edition Administration Booklet ,,,3,Inside Cabinet,WPS ,1
BBRS,,,Burk's Behavior Rating Scales,Form,Administration Booklet,,,1,Inside Cabinet,WPS,1
BCI,,,Basic Concept Inventory Field Research Edition,Manual,Teacher's Manual,,,1,Inside Cabinet,"Publisher - Follett Educational
 Corporation Chicago",1
BCI,,,Basic Concept Inventory Field Research Edition,Form,Pupil's Test and Scoring Booklet,,,2,Inside Cabinet,"Publisher - Follett Educational
 Corporation Chicago",1
BCT,C,,Booklet Category Test,Form,Scoring and Recording Form,,,Over 50,,PAR - 2nd ed available,1
BDAE-3,,,Boston Diagnostic Aphasia Examination,Kit,"Manual; 
Stimulus Cards Picture Book Short Form; Stimulus Cards Picture Book Long-Form; DVD
BNT-2 Virtual Naming Test Stimulus Cards Picture Book; BNT-2 Record Booklet;
BDAE-3 Record Booklet; BDAE-3 Short Form Record Booklet",3,,1,Shelf,,1
BDI,B,Mood/Anxiety,Beck Depression Inventory,Manual,,,,1,Inside Cabinet,The Psychological Corporation,1
BDI,B,Mood/Anxiety,Beck Depression Inventory,Form,BDI (questionnaire),,,1,Inside Cabinet,The Psychological Corporation,1
Beery VMI ,C,Visual-Motor,Beery-Buktenica Developmental Test of Visual-Motor Integration,Manual,"Administration, Scoring,
and Teaching Manual",5,0-6,1,,WPS - 6th ed available,1
Beery VMI ,C,Visual-Motor,Beery-Buktenica Developmental Test of Visual-Motor Integration,Form,Testing Booklet (green) (SHORT FORM),5,2 through 7,1,,WPS - 6th ed available,1
Beery VMI ,C,Visual-Motor,The Beery VMI Developmental Test of Motor Coordination,Form,Testing Booklet (beige),5,2 through 18,1,,WPS - 6th ed available,1
Beery VMI ,C,Visual-Motor,The Beery VMI Developmental Test of Visual Perception,Form,Testing Booklet (blue),5,2 through 18,1,,WPS - 6th ed available,1
Bellak TAT,,,Bellak Thematic Apperception Test ,Form,"For Recording and 
Analyzing Thematic 
Apperception Test Stories",,,Over 100,Inside Cabinet,The Psychological Corporation,1
Blacky Pictures,,,The Blacky Pictures: A Technique for the Exploration of Personality Dynamics,Manual,Manual of Instruction,,,1,Inside Cabinet,The Psychological Corporation,1
Boder Test,,,Boder Test of Reading-Spelling Patterns,Manual,,,,1,Inside Cabinet,,1
Boder Test,,,Boder Test of Reading-Spelling Patterns,Book,Reading Test: Student Form,,,1,Inside Cabinet,,1
Boder Test,,,Boder Test of Reading-Spelling Patterns,Book,Sentences for Use in Dictating Known Words,,,1,Inside Cabinet,,1
Boder Test,,,Boder Test of Reading-Spelling Patterns,Form,Diagnostic Summary Form,,,3,Inside Cabinet,,1
Boder Test,,,Boder Test of Reading-Spelling Patterns,Form,Prereading Form: Alphabet Tasks Recording Form ,,,11,Inside Cabinet,,1
Boder Test,,,Boder Test of Reading-Spelling Patterns,Form,Spelling Test Form,,,4,Inside Cabinet,,1
Boder Test,,,Boder Test of Reading-Spelling Patterns,Form,Reading Test: Examiner's Recording Form ,,,1,Inside Cabinet,,1
BPI,,,Basic Personality Inventory ,Book,Directions,,,10,Inside Cabinet,Sigma Assessment Systems Inc.,1
BPI,,,Basic Personality Inventory ,Manual,,,,1,Inside Cabinet,Sigma Assessment Systems Inc.,1
BPI,,,Basic Personality Inventory ,Form,Profile Sheet: Female Adolescent (green),,,17,Inside Cabinet,Sigma Assessment Systems Inc.,1
BPI,,,Basic Personality Inventory ,Form,Profile Sheet: Male Adolescent (green),,,2,Inside Cabinet,Sigma Assessment Systems Inc.,1
BPI,,,Basic Personality Inventory ,Form,Profile Sheet: Female Adult (yellow),,,13,Inside Cabinet,Sigma Assessment Systems Inc.,1
BRIEF,B,,Behavior Rating Inventory of Executive Function,Manual,Professional Manual,,,1,,PAR - 2nd ed available,1
BRIEF,B,,Behavior Rating Inventory of Executive Function,Form,Teacher Form,,,15,,PAR - 2nd ed available,1
BRIEF,B,,Behavior Rating Inventory of Executive Function,Form,Teacher Form Scoring Summary,,,Around 50,,PAR - 2nd ed available,1
BRIEF,B,,Behavior Rating Inventory of Executive Function,Form,Parent Form,,,9,,PAR - 2nd ed available,1
BRIEF,B,,Behavior Rating Inventory of Executive Function,Form,Parent Form Scoring Summary,,,3,,PAR - 2nd ed available,1
BSRA,,,Bracken School Readiness Assessment,Manual,Administration Manual ,,,1,Inside Cabinet,The Psychological Corporation ,1
BSRA,,,Bracken School Readiness Assessment,Manual,Stimulus Manual,,,1,Inside Cabinet,The Psychological Corporation,1
BSRA,,,Bracken School Readiness Assessment,Form,English Edition Record Form,,,2,Inside Cabinet,The Psychological Corporation,1
BVRT,,Memory,Benton Visual Retention Test,Book,"Forms C, D, E",,,1,Inside Cabinet,,1
BVRT,,Memory,Benton Visual Retention Test,Manual,Revised Visual Retention Test Clinical and Experimental Applications,4,,1,Inside Cabinet,,1
BVRT,,Memory,Benton Visual Retention Test,Book,Benton G,,,1,Inside Cabinet,,1
BVRT,,Memory,Benton Visual Retention Test,Manual,Revised Visual Retention Test Clinical and Experimental Applications,,,1,Inside Cabinet,,1
BSID-II,B,"Adaptive Functioning
Cognitive 
Language 
Motor 
Social-Emotional",Bayley Scales of Infant and Toddler Development ,Kit,"support materials: Technical Manual; Administration Manual; Stimulus Book; Picture Book; Fundamental Administration DVD, Observational Checklist, Puzzles
Manipulatives Set 1
Manipulatives Set 2
Manipulatives Set 3
test forms & reports: Social-Emotional and Adaptive Behavior Questionnaire, Caregiver Report",3,1-42 months,1,Shelf,4th Ed. available,1
BVRT,C,Memory,Benton Visual Retention Test,Kit,Books and booklets,3,,1,,Pearson - 5th ed available,1
BYI-II,,Mood/Anxiety,Beck Youth Inventories - Second Edition,Manual,,2,7 to 18,1,Inside Cabinet,,1
CAAT,,,Canadian Adult Achievement Tests,Book,Norms Booklet ,,,1,Inside Cabinet,,1
CAAT,,,Canadian Adult Achievement Tests,Book,"Norms Booklet Supplement
with Revised Grade Equivalents Levels A, B, C",,,1,Inside Cabinet,,1
CAAT,,,Canadian Adult Achievement Tests,Book,"Directions for Administering
 (Level A, green booklet)",,,1,Inside Cabinet,,1
CAAT,,,Canadian Adult Achievement Tests,Form,"Test Booklet (Level A, green booklet)",,,1,Inside Cabinet,,1
CAAT,,,Canadian Adult Achievement Tests,Form,"Test Booklet (Level B, red booklet)",,,1,Inside Cabinet,,1
CAAT,,,Canadian Adult Achievement Tests,Form,Hand Scorable Answer Folder (Level B),,,Around 45,Inside Cabinet,,1
CAAT,,,Canadian Adult Achievement Tests,Book,"Directions for Administering (Levels B & C, purple booklet)",,,1,Inside Cabinet,,1
CAAT,,,Canadian Adult Achievement Tests,Form,"Test Booklet (Level C, dark blue booklet)",,,1,Inside Cabinet,,1
CAAT,,,Canadian Adult Achievement Tests,Form,Hand Scorable Answer Folder (Level C),,,Around 45,Inside Cabinet,,1
CAAT,,,Canadian Adult Achievement Tests,Book,"Directions for Administering (Level D, light blue booklet)",,,1,Inside Cabinet,,1
CAAT,,,Canadian Adult Achievement Tests,Form,"Test Booklet (Level D, light blue booklet)",,,1,Inside Cabinet,,1
CAAT,,,Canadian Adult Achievement Tests,Form,Self Score Answer Sheets (Level B),,,1,Inside Cabinet,,1
CAAT,,,Canadian Adult Achievement Tests,Form,Self Score Answer Sheets (Select-a-level),,,2,Inside Cabinet,,1
CAI,B,Vocational,Career Assessment Inventory,Manual,,2,,1,Inside Cabinet,Pearson - The Enhanced Version available,1
CAK,,,Concept Assessment Kit - Conservation,Kit,Manual; Recording Forms B & C; Materials List; Manipulatives ,,,1,Shelf,,1
California Q-Sort ,,,California Adult Q-Sort ,Book,"California Q-Sort for Adults (Revised Edition) Sampler Set, Instructions, Cards, and Sorting Guide",,,1,Inside Cabinet,,1
California Q-Sort ,,,California Child Q-Sort ,,"Manual of Instructions, Cards, Sorting Guide ",,,1,Inside Cabinet,,1
CAQ,,Personality,Clinical Analysis Questionnaire ,Manual,,,,1,Inside Cabinet,,1
CAQ,,Personality,Clinical Analysis Questionnaire ,Book,Form A Parts I & II,,,1,Inside Cabinet,,1
CAQ,,Personality,Clinical Analysis Questionnaire ,Form,Answer Sheet Parts I & II,,,1,Inside Cabinet,,1
CAQ,,Personality,Clinical Analysis Questionnaire ,Form,CAQ Profile ,,,1,Inside Cabinet,,1
CAQ,,Personality,Clinical Analysis Questionnaire ,Book,Preliminary Criterion Evidence on the CAQ,,,2,Inside Cabinet,,1
CARS,C,Autism,Childhood Autism Rating Scale,Manual,,,,1,Inside Cabinet,WPS - 2nd ed available,1
CARS,C,Autism,Childhood Autism Rating Scale,Form,Rating Sheet,,,10,Inside Cabinet,WPS - 2nd ed available,1
CAT,,Personality,Children's Apperception Test,Manual,,,,1,Inside Cabinet,,1
CAT,,Personality,Children's Apperception Test,Form,Short Form,,,4,Inside Cabinet,,1
CAT,,Personality,Children's Apperception Test,Form,Record Form,,,2,Inside Cabinet,,1
CDI,,Vocational,Career Directions Inventory,Manual,,,,2,Inside Cabinet,Publisher - Research Psychologists Press,1
CDI,,Vocational,Career Directions Inventory,Form,Record Form,,,2,Inside Cabinet,"Publisher - Research Psychologists Press, ",1
CDI,B,Mood/Anxiety,Children’s Depression Inventory,Manual,Technical Manual,,,1,Inside Cabinet,MHS - 2nd ed available,1
CDI,B,Mood/Anxiety,Children’s Depression Inventory,Form,Record Form,,,Over 50,Inside Cabinet,MHS - 2nd ed available,1
CDS,B,Vocational,Career Decision Scale,Manual,,,,1,Inside Cabinet,PAR,1
CDS,B,Vocational,Career Decision Scale,Form,"Record Form
Third Revision (1976)",,,Around 50,Inside Cabinet,PAR,1
CELF-4,B,Language,Clinical Evaluation of Language Fundamentals,Install Disk,"Scoring Assistant
Windows Version 1.0",4,,1,Shelf,Pearson - 5th ed available,1
CELF-4,B,Language,Clinical Evaluation of Language Fundamentals,CD,"Scoring Assistant
Windows Version 1.0.2",4,,1,Shelf,Pearson - 5th ed available,1
CELF-4,B,Language,Clinical Evaluation of Language Fundamentals,Form,Record Form 1,4,5 to 8,10,Shelf,Pearson - 5th ed available,1
CELF-4,B,Language,Clinical Evaluation of Language Fundamentals,Form,Record Form 2,4,9 to 21,Around 25,Shelf,Pearson - 5th ed available,1
CELF-4,B,Language,Clinical Evaluation of Language Fundamentals,Form,Observational Rating Scale,4,,Over 50,Shelf,Pearson - 5th ed available,1
CELF-4,B,Language,Clinical Evaluation of Language Fundamentals,Kit,"Examiner's Manual
Stimulus Books 1 & 2",4,,1,Shelf,Pearson - 5th ed available,1
CF-SEI,,,Culture-Free Self-Esteem Inventories ,Book,Culture-Free SEI for Children and Adults,,,,Inside Cabinet,,1
CF-SEI ,,,Culture-Free Self-Esteem Inventories ,Form,Form A  ,,,Over 30,Inside Cabinet,,1
CF-SEI-2,,,Culture-Free Self-Esteem Inventories Second Edition,Form,Form AD,2,,1,Inside Cabinet,,1
CGOE,,,The Complete Guide for Occupational Exploration,Book,,,,1,Inside Cabinet,,1
CIIS,,,Cattell Infant Intelligence Scale,Form,Record Form,,2 months to 2 1/2 years,1,Inside Cabinet,,1
CISS,B,Coping/Resiliency,Coping Inventory for Stressful Situations,Manual,,,,2,Inside Cabinet,MHS - 2nd ed available,1
CISS,B,Coping/Resiliency,Coping Inventory for Stressful Situations,Form,"Record Form
Adolescent",,,25,Inside Cabinet,MHS - 2nd ed available,1
CISS,B,Coping/Resiliency,Coping Inventory for Stressful Situations,Manual,,2,,1,Inside Cabinet,MHS,1
CISS,B,Coping/Resiliency,Coping Inventory for Stressful Situations,Form,"Record Form
Adolescent (French Version)",,,Over 30,Closet,,1
CISS,B,Coping/Resiliency,Coping Inventory for Stressful Situations,Form,Record Form Adult,,,13,Inside Cabinet,,1
CISS:SSC,B,Coping/Resiliency,Coping Inventory for Stressful Situations: Situation Specific Coping,Form,Record Form,,,1,Inside Cabinet,,1
CMMS,,,Columbia Mental Maturity Scale,Book,Guide for Administering and Interpreting,,,,Inside Cabinet,,1
CMMS,,,Columbia Mental Maturity Scale,Manual,,,,3,Inside Cabinet,,1
CMMS,,,Columbia Mental Maturity Scale,Form,Individual Record Form,,"Level F: Ages 6-0 through 6-11
Level G: Ages 7-0 through 7-11
Level H: Ages 8-0 through 9-11",Over 50,Inside Cabinet,,1
CMMS,,,Columbia Mental Maturity Scale,Form,Individual Record Blank: Revised,,,2,Inside Cabinet,,1
CMMS,,,Columbia Mental Maturity Scale,Book,Mental Age Corresponding to Scores (1959 Revision),,,11,Inside Cabinet,,1
CMS,C,Memory,Children's Memory Scale ,Kit,Manual,,5 to 6,1,Shelf,,1
CMS,C,Memory,Children's Memory Scale ,Form,Record Form,,5 to 8,2,Shelf,,1
CMS,C,Memory,Children's Memory Scale ,Form,Record Form,,9 to 16,2,Shelf,,1
CNVE,,,Chicago Non-Verbal Examination,Manual,Manual of Directions,,,1,Inside Cabinet,,1
CNVE,,,Chicago Non-Verbal Examination,Form,Answer Sheet,,,1,Inside Cabinet,,1
COJ,,,"Classification of Jobs (4th Revision, 1992)",Book,,,,1,Inside Cabinet,,1
COPS,,,Career Occupational Preference System Interest Inventory ,Book,COPSystem Technical Manual,,,1,Inside Cabinet,,1
COPS,,,Career Occupational Preference System Interest Inventory ,Form,COPS Self Interpretation Profile & Guide,,,2,Inside Cabinet,,1
COPS,,,Career Occupational Preference System Interest Inventory ,Manual,COPSystem Directions for Administering and Interpreting the COPS Interest Inventory,,,1,Inside Cabinet,,1
COPS,,,Career Occupational Preference System Interest Inventory ,Book,COPS Self-Interpretation Guide,,,1,Inside Cabinet,,1
COPS,,,Career Occupational Preference System Interest Inventory ,Form,COPS Interest Inventory,,,1,Inside Cabinet,,1
COPS,,,Career Occupational Preference System Interest Inventory,Form,Interest Inventory 1982 Revision,,,1,Inside Cabinet,,1
CPI,,,California Psychological Inventory,Manual,,,,1,Inside Cabinet,,1
CPI,,,California Psychological Inventory,Book,Test Sheet,,,4,Inside Cabinet,,1
CPI,,,California Psychological Inventory,Form,Answer Sheet,,,5,Inside Cabinet,,1
CPQ,,,Children's Personality Questionnaire ,Manual,Handbook for the CPQ,,,1,Inside Cabinet,,1
CPQ,,,Children's Personality Questionnaire ,Form,"Form A, What You Do and What You Think",,8 to 12,1,Inside Cabinet,,1
CPRS-48,,Attention/ADHD,Conners' Parent Rating Scale-48 items,Form,Record Form,,,1,,MHS,1
